Station Name,Street Address,City,State,ZIP,Latitude,Longitude,EV Network,EV Connector Types
LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,34.2483191527193,-118.3879713743439,SHELL_RECHARGE,"CHADEMO,J1772,J1772COMBO"
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,34.040539,-118.271387,Non-Networked,J1772
LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,34.059133,-118.248589,Non-Networked,"CHADEMO,J1772,J1772COMBO"
LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,33.759802,-118.096665,Non-Networked,"CHADEMO,J1772,J1772COMBO"
LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,33.770508,-118.265628,Non-Networked,J1772
LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,34.30309,-118.480505,Non-Networked,J1772
LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,34.066801,-118.227605,Non-Networked,"CHADEMO,J1772"
LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,34.036777,-118.368841,Non-Networked,J1772
LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,34.039736,-118.236065,Non-Networked,J1772
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,32.89947,-117.243,Non-Networked,J1772
Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,34.221665,-118.468371,Non-Networked,J1772
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,33.909914,-117.459053,Non-Networked,J1772
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,34.14762,-118.147111,Non-Networked,J1772
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,34.145138,-118.152655,Non-Networked,J1772
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,34.145119,-118.150133,Non-Networked,J1772
Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,34.118433,-118.149597,Non-Networked,
